Número de trade;Instrumento;Cuenta;Estrategia;Mercado pos.;Cant.;Precio de entrada;Precio de salida;Tiempo de entrada;Tiempo de salida;Nombre de entrada;Nombre de salida;Ganancias;Con ganancia neto;Comisión;Tarifa de Liquidación;Tarifa de Intercambio;Tarifa de IP;Tarifa de NFA;MAE;MFE;ETD;Barras;
50;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06270;0,06190;25/7/2021 12:00:00 a m;28/7/2021 12:00:00 a m;ENTRADA;Cierre por Cruce;-1,28 %;88,83 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,31 %;2,20 %;3,48 %;4;
51;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06412;0,07046;4/8/2021 12:00:00 a m;22/9/2021 12:00:00 a m;ENTRADA;Cierre por Cruce;9,89 %;107,50 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,87 %;24,06 %;14,18 %;50;
52;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07066;0,07026;25/9/2021 12:00:00 a m;26/9/2021 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,57 %;106,33 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,16 %;0,86 %;1,43 %;2;
53;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07088;0,06946;29/9/2021 12:00:00 a m;29/9/2021 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;102,19 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
54;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07111;0,06969;5/10/2021 12:00:00 a m;6/10/2021 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;98,15 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,91 %;2,91 %;2;
55;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06800;0,06664;26/10/2021 12:00:00 a m;26/10/2021 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;94,19 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
56;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07954;0,07891;3/1/2022 12:00:00 a m;4/1/2022 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,79 %;92,65 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,28 %;0,44 %;1,23 %;2;
57;ETHBTC;Backtest;CRUCEEMA;Long;1;0,08096;0,07934;5/1/2022 12:00:00 a m;8/1/2022 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;88,80 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;2,42 %;4,42 %;4;
58;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06873;0,07299;20/3/2022 12:00:00 a m;2/5/2022 12:00:00 a m;ENTRADA;Cierre por Cruce;6,20 %;100,50 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,83 %;11,77 %;5,57 %;44;
59;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07344;0,07197;4/5/2022 12:00:00 a m;13/5/2022 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;96,49 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;3,92 %;5,92 %;10;
60;ETHBTC;Backtest;CRUCEEMA;Long;1;0,05796;0,07664;17/7/2022 12:00:00 a m;15/9/2022 12:00:00 a m;ENTRADA;Cierre por Cruce;32,23 %;159,81 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,33 %;47,72 %;15,49 %;61;
61;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07805;0,07649;16/9/2022 12:00:00 a m;17/9/2022 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;154,62 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;3,83 %;5,83 %;2;
62;ETHBTC;Backtest;CRUCEEMA;Long;1;0,06971;0,07196;26/10/2022 12:00:00 a m;11/11/2022 12:00:00 a m;ENTRADA;Cierre por Cruce;3,23 %;162,84 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,02 %;13,73 %;10,50 %;17;
63;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07383;0,07235;13/11/2022 12:00:00 a m;13/11/2022 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;157,57 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,00 %;2,00 %;1;
64;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07258;0,07203;28/11/2022 12:00:00 a m;1/12/2022 12:00:00 a m;ENTRADA;Cierre por Cruce;-0,76 %;155,62 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,38 %;1,94 %;2,70 %;4;
65;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07399;0,07313;2/12/2022 12:00:00 a m;10/12/2022 12:00:00 a m;ENTRADA;Cierre por Cruce;-1,16 %;152,65 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,58 %;2,85 %;4,01 %;9;
66;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07432;0,07283;11/12/2022 12:00:00 a m;17/12/2022 12:00:00 a m;ENTRADA;Stop loss;-2,00 %;147,58 %;$0,00;$0,00;$0,00;$0,00;$0,00;2,00 %;0,91 %;2,92 %;7;
67;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07281;0,07281;5/1/2023 12:00:00 a m;16/1/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;0,00 %;147,58 %;$0,00;$0,00;$0,00;$0,00;$0,00;0,49 %;7,02 %;7,02 %;12;
68;ETHBTC;Backtest;CRUCEEMA;Long;1;0,07397;0,07314;17/1/2023 12:00:00 a m;21/1/2023 12:00:00 a m;ENTRADA;Cierre por Cruce;-1,12 %;144,80 %;$0,00;$0,00;$0,00;$0,00;$0,00;1,28 %;1,35 %;2,47 %;5;
